"Ano","Dia","Hora","ALB","ART","BGM","BUF","ELM","HPN","JFK","LGA","MSS","MSV","PBG","POU","RME","ROC","SWF","SYR"
2015,2,13,1.15,-2.85,-3.95,-0.65,0.05,-2.85,6.15,4.45,-6.75,-2.05,-4.45,5.65,4.45,-0.65,3,-1.75
2015,2,14,0.65,-2.85,-3.35,0.05,0.65,-2.85,6.75,5.05,-6.75,-2.05,-3.95,5.05,5.05,-0.65,3,-2.25
2015,2,15,0.65,-3.35,-2.85,0.05,0.65,-3.35,6.75,5.05,-6.75,-2.05,-4.45,4.45,5.05,-0.65,3,-3.35
2015,2,16,0.65,-3.95,-2.85,0.05,0.65,-3.95,6.75,5.65,-6.15,-1.05,-3.95,4.45,5.65,0.05,3,-3.35
2015,2,17,0.05,-3.35,-2.25,0.05,0.05,-3.35,6.15,5.05,-7.25,-1.05,-5.05,3.95,5.05,-0.65,2,-3.95
2015,2,18,-1.15,-4.45,-2.85,-1.15,0.05,-4.45,5.05,4.45,-7.85,0.05,-6.75,2.25,4.45,-1.15,1,-3.95
2015,2,19,-1.75,-4.45,-3.35,-1.75,0.05,-4.45,5.05,4.45,-7.85,-1.05,-7.25,2.85,4.45,-1.75,0,-3.95
2015,2,20,-1.75,-7.25,-3.35,-2.25,-0.65,-7.25,4.45,4.45,-7.85,-1.05,-8.35,2.25,4.45,-1.75,-1,-3.95
2015,2,21,-2.25,-8.35,-3.35,-2.85,-0.65,-8.35,4.45,3.95,-8.95,-1.05,-8.35,0.65,3.95,-3.95,-2,-6.15
2015,2,22,-2.85,-8.95,-3.35,-2.85,-0.65,-8.95,4.45,3.35,-9.45,-1.6,-10.05,-1.15,3.35,-3.35,-2.5,-6.75
2015,2,23,-2.85,-8.95,-3.35,-5.05,-0.65,-8.95,3.35,3.35,-10.65,-2.15,-9.45,-1.15,3.35,-3.95,-3,-7.25
2015,2,24,-2.85,-8.35,-3.95,-5.05,-1.15,-8.35,2.85,2.25,-11.75,-2.7,-9.45,-1.75,2.25,-5.65,-3,-7.85
2015,3,1,-3.35,-8.35,-3.95,-5.05,-3.95,-8.35,1.75,1.75,-16.15,-3.25,-10.05,-3.35,1.75,-5.65,-4,-8.95
2015,3,2,-3.95,-8.35,-4.45,-5.65,-6.15,-8.35,1.75,1.75,-17.25,-3.8,-11.75,-3.35,1.75,-6.75,-5,-8.35
2015,3,3,-4.45,-9.45,-5.05,-5.65,-6.15,-9.45,0.65,1.15,-18.35,-4.35,-13.95,-3.35,1.15,-5.05,-4,-6.75
2015,3,4,-5.05,-12.25,-4.45,-5.65,-6.75,-12.25,0.65,1.15,-18.35,-4.9,-13.95,-4.45,1.15,-4.45,-3,-7.85
2015,3,5,-5.65,-10.65,-5.65,-5.05,-6.15,-10.65,0.05,1.15,-18.35,-5.45,-15.05,-3.95,1.15,-5.05,-4,-8.35
2015,3,6,-6.15,-12.85,-5.65,-5.05,-5.65,-12.85,-0.65,0.65,-18.35,-6,-13.95,-4.45,0.65,-4.45,-4,-7.25
2015,3,7,-6.15,-12.85,-6.15,-4.45,-5.65,-12.85,-1.15,0.05,-18.35,-5.05,-14.45,-4.45,0.05,-4.45,-4,-6.75
2015,3,8,-6.15,-11.75,-7.25,-4.45,-5.65,-11.75,-0.65,0.05,-17.25,-6.05,-14.45,-3.95,0.05,-5.05,-5,-6.75
2015,3,9,-6.75,-10.05,-6.75,-3.35,-4.45,-10.05,0.05,0.05,-14.45,-6.05,-14.45,-4.45,0.05,-3.95,-5,-6.75
2015,3,10,-6.15,-7.85,-5.05,-2.25,-1.75,-7.85,1.75,0.65,-13.35,-6.05,-13.35,-2.25,0.65,-3.35,-3.5,-6.15
2015,3,11,-5.65,-4.45,-4.45,-1.75,-0.65,-4.45,2.85,1.75,-11.15,-7.05,-11.15,-1.15,1.75,-2.25,-2,-4.45
2015,3,12,-3.95,-2.85,-3.35,-0.65,-0.65,-2.85,3.95,2.85,-10.65,-7.05,-10.05,0.65,2.85,-0.65,-1.5,-3.95
2015,3,13,-3.35,-2.25,-3.91,0.05,-1.15,-2.25,3.95,3.95,-9.45,-7.05,-8.95,1.75,3.95,0.05,-1,-3.35
2015,3,14,-2.25,-2.25,-3.91,-0.65,-0.65,-2.25,4.45,1.75,-9.45,-7.05,-7.25,1.75,1.75,0.05,0,-3.35
2015,3,15,-2.85,-2.25,-3.31,-1.15,0.05,-2.25,4.45,1.15,-10.65,-6.05,-6.15,-0.65,1.15,-0.65,-2,-3.95
2015,3,16,-3.95,-0.65,-2.25,0.05,1.15,-0.65,3.95,0.65,-9.45,-5.05,-6.15,-0.65,0.65,0.05,-2,-3.95
2015,3,17,-3.95,-2.25,-2.25,0.65,1.75,-2.25,3.95,1.15,-8.35,-3.05,-5.05,0.05,1.15,0.65,-2,-3.35
2015,3,18,-3.95,-2.25,-1.75,0.65,2.25,-2.25,4.45,2.25,-8.95,-3.05,-4.45,0.05,2.25,0.65,-1,-3.35
2015,3,19,-2.25,-1.75,-0.65,1.15,2.85,-1.75,5.65,2.25,-9.45,-4.05,-5.05,1.15,2.25,1.15,0,-1.75
2015,3,20,-1.75,1.75,0.05,1.15,2.85,1.75,6.75,2.85,-9.45,-5.05,-5.05,1.75,2.85,1.75,1,0.05
2015,3,21,-2.25,2.25,0.65,2.85,3.95,2.25,6.75,3.35,-8.95,-5.05,-4.45,1.15,3.35,2.85,1,1.15
2015,3,22,-1.15,3.35,1.15,3.95,3.95,3.35,7.85,3.35,-7.85,-5.05,-3.95,1.75,3.35,4.45,2,2.85
2015,3,23,0.05,4.45,1.75,4.45,3.95,4.45,7.85,3.95,-9.45,-4.05,-3.35,1.15,3.95,5.05,1,3.95
2015,3,24,0.61,5.05,1.75,6.15,3.95,5.05,7.85,4.45,-8.95,-2.05,-3.35,1.75,4.45,5.65,0,3.95
2015,4,1,0.65,5.65,2.25,8.35,5.05,5.65,6.15,5.05,-7.25,-1.05,-2.25,1.15,5.05,5.65,0,4.45
2015,4,2,0.65,5.65,2.25,10.05,6.15,5.65,6.75,5.05,-6.15,0.05,-1.15,1.15,5.05,6.75,0,5.05
2015,4,3,1.15,5.65,2.81,10.05,6.15,5.65,6.75,5.05,-5.65,0.05,0.05,1.15,5.05,7.85,0.5,5.65
2015,4,4,1.15,5.05,3.35,10.65,5.05,5.05,7.25,5.05,-3.95,0.05,0.65,1.75,5.05,8.95,1,5.65
2015,4,5,1.15,6.75,3.91,11.15,3.95,6.75,7.25,5.05,-3.95,0.05,1.15,1.15,5.05,9.45,1,5.65
2015,4,6,2.25,7.25,3.91,11.75,3.95,7.25,6.75,5.05,-3.95,0.05,1.75,1.15,5.05,10.65,1,6.15
2015,4,7,2.25,7.85,3.91,11.15,3.95,7.85,7.85,6.75,-3.35,1.05,2.85,1.15,6.75,10.65,1,5.65
2015,4,8,2.25,8.35,4.41,8.95,7.25,8.35,7.85,7.25,-3.35,1.05,3.35,1.15,7.25,11.75,1,5.65
2015,4,9,2.85,9.45,5.05,8.35,7.85,9.45,7.85,7.25,-3.35,1.05,3.35,1.75,7.25,12.85,1,7.85
2015,4,10,3.35,6.15,6.15,8.35,9.45,6.15,7.85,7.25,-2.85,1.05,2.25,1.75,7.25,13.35,1,7.25
2015,4,11,3.35,8.35,5.65,7.85,10.05,8.35,8.35,7.85,-1.15,1.05,2.85,3.95,7.85,11.15,1,4.45
2015,4,12,3.95,3.95,6.75,7.85,13.35,3.95,8.95,8.35,-1.15,1.05,2.85,2.85,8.35,10.65,1,8.95
2015,4,13,4.45,11.75,7.85,6.75,13.95,11.75,10.05,10.05,-0.65,1.05,3.95,2.85,10.05,10.65,2,11.75
2015,4,14,5.05,10.65,9.45,5.05,13.35,10.65,10.65,10.65,0.05,0.05,3.95,3.95,10.65,11.15,2,12.25
2015,4,15,5.65,10.05,10.05,4.45,11.75,10.05,12.25,11.15,0.05,1.05,3.95,3.95,11.15,8.35,3,10.05
2015,4,16,6.15,10.05,10.05,3.95,11.75,10.05,12.25,11.75,0.05,1.05,4.45,3.95,11.75,6.75,5,10.65
2015,4,17,6.15,7.25,9.45,2.85,12.85,7.25,11.15,12.85,2.85,1.05,5.05,6.15,12.85,6.15,5,8.95
2015,4,18,5.65,5.65,9.45,2.25,11.75,5.65,11.15,13.35,5.65,2.05,5.05,5.05,13.35,5.65,6,6.75
2015,4,19,6.15,5.05,8.35,2.25,10.65,5.05,10.65,13.35,5.65,3.05,9.45,3.95,13.35,4.45,7,5.05
2015,4,20,6.15,4.45,7.25,1.75,8.35,4.45,10.05,13.35,4.45,3.05,8.35,7.85,13.35,3.95,8,4.45
2015,4,21,6.75,4.45,5.65,0.65,7.85,4.45,10.05,12.25,2.85,3.05,6.75,7.85,12.25,2.85,8,3.95
2015,4,22,6.75,1.75,5.65,0.65,5.05,1.75,12.25,12.25,2.25,3.05,6.15,8.95,12.25,1.75,8,3.35
2015,4,23,6.15,0.05,2.25,0.65,3.95,0.05,12.25,11.75,-2.25,4.05,5.05,10.05,11.75,1.15,9,2.25
2015,4,24,5.65,0.05,1.75,-1.15,3.35,0.05,11.75,11.15,-3.95,4.05,4.45,10.05,11.15,1.15,8,0.65
2015,5,1,5.65,0.05,1.15,-2.25,3.35,0.05,10.65,10.65,-5.05,3.05,3.35,9.45,10.65,-0.65,8,0.65
2015,5,2,4.45,0.05,1.15,-3.35,2.25,0.05,9.45,9.45,-5.05,6.05,2.25,7.25,9.45,-1.15,6,0.05
2015,5,3,2.85,0.05,0.65,-4.45,1.15,0.05,8.35,8.35,-5.65,6.05,0.65,6.75,8.35,-2.85,5.33333333333333,-1.75
2015,5,4,2.25,-1.15,-1.15,-5.05,0.05,-1.15,7.85,7.25,-3.95,5.05,-0.65,6.15,7.25,-4.45,4.66666666666667,-2.25
2015,5,5,1.15,-2.25,-2.25,-6.15,-1.15,-2.25,6.75,6.75,-6.15,4.05,-1.15,5.05,6.75,-4.45,4,-3.35
2015,5,6,0.65,-4.45,-3.35,-7.85,-2.25,-4.45,5.65,5.65,-10.65,3.05,-2.25,5.65,5.65,-4.45,3,-4.45
2015,5,7,-1.15,-5.65,-4.45,-8.35,-2.85,-5.65,5.65,5.05,-11.75,2.05,-3.35,3.95,5.05,-6.15,2,-5.05
2015,5,8,-2.25,-6.75,-5.05,-8.95,-4.45,-6.75,5.05,5.05,-12.85,2.05,-5.05,3.35,5.05,-7.85,2,-5.65
2015,5,9,-2.85,-8.35,-6.15,-9.45,-5.05,-8.35,4.45,3.95,-13.95,2.05,-6.75,2.25,3.95,-7.85,1,-6.75
2015,5,10,-2.25,-8.95,-7.25,-9.45,-5.65,-8.95,4.45,4.45,-14.45,1.05,-7.25,1.75,4.45,-8.95,0,-7.25
2015,5,11,-2.85,-9.45,-7.25,-10.05,-5.65,-9.45,4.45,3.35,-13.95,-1.05,-7.85,1.15,3.35,-8.35,-1,-7.25
2015,5,12,-2.85,-8.95,-7.85,-10.65,-5.65,-8.95,3.95,2.85,-13.35,-2.05,-7.85,0.65,2.85,-8.35,-1,-7.25
2015,5,13,-4.45,-8.95,-8.95,-10.65,-5.05,-8.95,3.95,2.25,-12.25,-3.05,-8.95,0.05,2.25,-8.95,-1,-7.85
2015,5,14,-6.15,-8.95,-8.35,-10.65,-6.75,-8.95,3.35,1.75,-12.25,-4.05,-8.95,0.05,1.75,-8.35,-1,-9.45
2015,5,15,-6.75,-8.95,-8.35,-10.65,-6.75,-8.95,3.35,2.25,-12.85,-4.05,-10.05,-1.75,2.25,-8.95,-2,-8.35
2015,5,16,-6.75,-8.95,-10.05,-10.65,-7.25,-8.95,2.25,1.75,-13.35,-5.05,-10.05,-1.75,1.75,-9.45,-3,-8.35
2015,5,17,-7.25,-9.45,-11.15,-11.15,-8.95,-9.45,1.15,0.65,-14.45,-6.05,-10.65,-1.75,0.65,-10.05,-3,-9.45
2015,5,18,-8.35,-10.65,-11.75,-12.25,-9.45,-10.65,0.65,0.05,-15.05,-6.05,-11.75,-3.35,0.05,-10.65,-5,-10.05
2015,5,19,-8.95,-10.65,-11.75,-12.25,-10.05,-10.65,0.05,-1.15,-14.45,-6.05,-12.85,-4.45,-1.15,-11.15,-6,-10.65
2015,5,20,-9.45,-11.15,-12.25,-12.85,-9.45,-11.15,-1.15,-1.75,-14.45,-7.05,-13.35,-5.65,-1.75,-11.75,-7,-11.15
2015,5,21,-9.45,-11.15,-12.85,-12.85,-9.45,-11.15,-2.25,-2.85,-15.05,-7.05,-13.95,-6.15,-2.85,-12.25,-8,-11.75
2015,5,22,-10.05,-11.15,-12.85,-12.25,-10.65,-11.15,-2.85,-3.95,-16.75,-8.05,-13.95,-6.75,-3.95,-12.25,-9,-11.75
2015,5,23,-10.65,-12.25,-12.85,-12.25,-10.05,-12.25,-4.45,-5.05,-17.85,-9.05,-14.45,-7.25,-5.05,-12.25,-9,-12.25
2015,5,24,-10.65,-11.15,-12.85,-12.25,-10.05,-11.15,-5.05,-5.65,-16.75,-11.05,-15.65,-7.85,-5.65,-11.15,-10,-12.25
2015,6,1,-10.65,-11.15,-13.35,-12.25,-10.05,-11.15,-5.05,-5.65,-17.25,-11.05,-15.65,-7.85,-5.65,-11.15,-10,-12.25
2015,6,2,-10.05,-11.15,-13.35,-12.25,-10.05,-11.15,-5.65,-6.15,-15.65,-12.05,-15.65,-8.35,-6.15,-11.15,-10,-12.25
2015,6,3,-11.15,-11.15,-13.35,-11.75,-10.65,-11.15,-6.15,-6.75,-16.75,-12.05,-14.45,-8.35,-6.75,-11.15,-10,-11.15
2015,6,4,-10.65,-12.25,-13.35,-11.75,-11.15,-12.25,-6.75,-6.75,-17.25,-13.05,-15.65,-8.35,-6.75,-10.65,-10,-11.15
2015,6,5,-11.15,-10.65,-13.35,-11.75,-10.65,-10.65,-6.75,-7.25,-18.95,-13.05,-16.75,-7.85,-7.25,-10.65,-10,-10.65
2015,6,6,-11.15,-10.65,-13.35,-11.75,-10.65,-10.65,-6.15,-6.75,-18.95,-13.05,-16.75,-7.85,-6.75,-10.65,-10,-10.65
2015,6,7,-10.65,-9.45,-13.35,-11.75,-10.65,-9.45,-6.15,-7.25,-17.85,-13.05,-17.25,-7.85,-7.25,-10.65,-10,-10.05
2015,6,8,-10.65,-9.45,-12.85,-11.15,-10.65,-9.45,-6.15,-6.75,-17.25,-14.05,-16.15,-7.85,-6.75,-10.65,-10,-10.65
2015,6,9,-10.05,-10.05,-12.81,-11.75,-11.15,-10.05,-6.15,-6.75,-15.65,-14.05,-15.05,-7.85,-6.75,-10.65,-10,-10.05
2015,6,10,-9.45,-10.05,-12.25,-11.15,-10.61,-10.05,-6.75,-7.25,-14.45,-14.05,-13.95,-7.25,-7.25,-10.65,-9,-10.05
2015,6,11,-10.05,-9.45,-12.21,-10.65,-10.01,-9.45,-6.75,-7.85,-12.25,-13.05,-11.75,-7.85,-7.85,-10.05,-9,-9.45
2015,6,12,-9.45,-8.95,-11.71,-9.45,-9.45,-8.95,-6.75,-7.25,-10.65,-13.05,-10.65,-7.25,-7.25,-9.45,-9,-9.45
2015,6,13,-9.45,-8.95,-11.75,-9.45,-9.41,-8.95,-6.75,-6.75,-9.45,-13.05,-10.05,-7.25,-6.75,-7.85,-9,-8.95
2015,6,14,-8.35,-8.35,-11.15,-9.45,-8.95,-8.35,-5.65,-6.75,-8.95,-12.05,-8.95,-6.75,-6.75,-7.85,-9,-8.35
2015,6,15,-8.35,-7.85,-10.65,-8.95,-7.25,-7.85,-5.65,-6.15,-8.35,-12.05,-8.95,-6.75,-6.15,-7.85,-8,-8.35
2015,6,16,-8.35,-7.85,-10.05,-8.95,-7.85,-7.85,-5.65,-6.15,-8.35,-11.05,-8.95,-6.15,-6.15,-7.25,-8,-7.85
2015,6,17,-7.85,-7.85,-10.65,-8.95,-7.85,-7.85,-5.65,-5.65,-8.35,-11.05,-8.95,-6.15,-5.65,-7.25,-8,-8.35
2015,6,18,-9.45,-7.85,-11.15,-8.95,-8.35,-7.85,-5.65,-5.65,-8.35,-11.05,-8.95,-6.15,-5.65,-7.85,-8,-8.95
2015,6,19,-8.95,-7.85,-13.35,-9.45,-8.95,-7.85,-6.15,-5.65,-8.95,-10.05,-9.45,-7.25,-5.65,-8.95,-9,-8.95
2015,6,20,-9.45,-7.85,-12.85,-8.95,-10.05,-7.85,-6.15,-6.15,-8.35,-9.05,-9.45,-7.85,-6.15,-8.95,-9,-8.95
2015,6,21,-10.05,-7.85,-12.85,-8.95,-10.05,-7.85,-5.65,-6.15,-8.35,-10.05,-10.05,-7.25,-6.15,-8.95,-10,-8.95
2015,6,22,-11.75,-6.15,-12.25,-8.95,-10.05,-6.15,-5.65,-5.65,-8.35,-10.05,-10.05,-7.25,-5.65,-8.95,-10,-8.35
2015,6,23,-11.75,-6.15,-12.85,-8.95,-10.05,-6.15,-5.65,-6.15,-8.95,-11.05,-10.05,-7.85,-6.15,-8.35,-10,-8.35
2015,6,24,-10.05,-6.75,-12.85,-7.85,-10.05,-6.75,-5.65,-5.65,-8.95,-11.05,-10.05,-8.95,-5.65,-8.35,-11,-8.95
2015,7,1,-11.75,-6.75,-12.25,-8.35,-10.05,-6.75,-6.15,-6.15,-8.95,-12.05,-10.05,-10.65,-6.15,-9.45,-11,-9.45
2015,7,2,-11.15,-7.25,-12.25,-8.35,-9.45,-7.25,-6.15,-6.15,-8.95,-12.05,-10.65,-10.65,-6.15,-8.95,-12,-9.45
2015,7,3,-10.05,-7.08333333333333,-11.75,-9.45,-8.95,-7.08333333333333,-6.15,-6.15,-8.95,-13.05,-10.05,-8.95,-6.15,-8.95,-11,-9.45
2015,7,4,-10.05,-6.91666666666667,-11.15,-10.05,-8.95,-6.91666666666667,-5.65,-6.15,-8.95,-13.05,-10.05,-7.25,-6.15,-9.45,-10,-9.45
2015,7,5,-9.45,-6.75,-11.15,-10.05,-9.45,-6.75,-5.65,-5.65,-8.95,-15.05,-9.45,-7.25,-5.65,-9.45,-9.5,-10.05
2015,7,6,-10.05,-7.25,-11.15,-10.05,-10.05,-7.25,-5.65,-5.65,-8.95,-15.05,-10.05,-7.25,-5.65,-9.45,-9,-9.45
2015,7,7,-9.45,-8.95,-12.25,-10.05,-10.05,-8.95,-5.05,-5.65,-8.95,-16.05,-10.05,-7.25,-5.65,-9.45,-9,-9.45
2015,7,8,-9.45,-8.95,-12.25,-10.65,-10.05,-8.95,-5.65,-6.15,-8.95,-13.05,-10.05,-7.25,-6.15,-9.45,-10,-9.45
2015,7,9,-10.05,-9.45,-12.25,-11.75,-10.05,-9.45,-5.65,-5.65,-11.75,-14.05,-10.05,-7.25,-5.65,-10.05,-9,-10.65
2015,7,10,-8.35,-12.85,-12.25,-11.75,-10.61,-12.85,-5.65,-5.65,-15.05,-14.05,-10.05,-6.15,-5.65,-10.65,-8,-9.45
2015,7,11,-7.25,-15.05,-11.71,-13.35,-9.41,-15.05,-4.45,-5.05,-16.75,-14.05,-6.75,-5.65,-5.05,-12.85,-7,-10.05
2015,7,12,-7.25,-15.65,-11.75,-14.45,-10.65,-15.65,-3.95,-4.45,-17.25,-12.05,-7.25,-5.05,-4.45,-13.35,-7,-11.15
2015,7,13,-6.75,-16.15,-12.25,-14.45,-10.05,-16.15,-4.45,-5.05,-17.85,-12.05,-9.45,-4.45,-5.05,-14.45,-6,-13.35
2015,7,14,-6.15,-16.15,-13.35,-14.45,-11.75,-16.15,-4.45,-5.65,-17.85,-12.05,-12.85,-5.05,-5.65,-15.05,-7,-15.05
2015,7,15,-7.85,-16.75,-15.05,-15.05,-12.25,-16.75,-4.45,-5.05,-18.95,-11.05,-15.65,-6.15,-5.05,-14.45,-7,-15.65
2015,7,16,-10.65,-16.75,-16.15,-14.45,-13.35,-16.75,-5.65,-3.95,-20.05,-10.05,-16.75,-6.75,-3.95,-14.41,-8,-15.65
2015,7,17,-12.85,-17.25,-16.71,-14.45,-14.45,-17.25,-5.65,-5.65,-20.65,-10.05,-17.85,-7.25,-5.65,-14.41,-9,-16.15
2015,7,18,-13.95,-18.95,-17.25,-15.65,-15.05,-18.95,-6.75,-6.75,-21.75,-9.05,-18.95,-9.45,-6.75,-15.65,-11,-16.15
2015,7,19,-15.05,-20.05,-17.25,-15.65,-15.65,-20.05,-7.85,-8.35,-22.25,-11.05,-19.8,-10.65,-8.35,-15.61,-13,-16.75
2015,7,20,-15.65,-20.65,-17.85,-16.15,-15.65,-20.65,-9.45,-9.45,-22.85,-12.05,-20.65,-11.75,-9.45,-16.11,-13,-16.75
2015,7,21,-16.75,-21.15,-17.81,-16.75,-15.65,-21.15,-10.65,-10.65,-23.95,-12.7642857142857,-21.75,-12.25,-10.65,-15.61,-14,-17.25
2015,7,22,-17.25,-22.85,-17.85,-16.75,-15.65,-22.85,-11.15,-11.75,-23.95,-13.4785714285714,-22.25,-12.25,-11.75,-15.65,-14,-17.85
2015,7,23,-17.85,-27.85,-18.35,-16.75,-16.75,-27.85,-11.75,-11.75,-24.45,-14.1928571428571,-22.85,-12.25,-11.75,-15.61,-15,-18.35
2015,7,24,-18.35,-30.05,-18.31,-16.15,-16.75,-30.05,-12.25,-12.25,-25.05,-14.9071428571429,-23.35,-12.85,-12.25,-16.15,-15,-18.35
2015,8,1,-19.45,-31.75,-18.35,-15.05,-17.25,-31.75,-12.25,-12.25,-25.65,-15.6214285714286,-23.95,-12.85,-12.25,-15.65,-15,-20.05
2015,8,2,-20.05,-32.85,-19.45,-13.95,-16.75,-32.85,-12.85,-12.25,-27.25,-16.3357142857143,-24.45,-13.95,-12.25,-15.65,-15,-20.05
2015,8,3,-20.65,-31.75,-19.45,-13.95,-16.15,-31.75,-12.85,-12.85,-27.25,-17.05,-24.45,-13.95,-12.85,-15.05,-15,-20.65
2015,8,4,-21.15,-31.15,-19.45,-13.95,-16.75,-31.15,-12.85,-12.25,-27.85,-18.05,-25.05,-14.45,-12.25,-15.65,-16,-19.45
